Taxid	Virus Name	Parent Viral Name	Baltimore	Family	Host
73475	Chicken anemia virus (isolate Germany Cuxhaven-1)	Chicken anemia virus	(-)ssRNA	Anelloviridae	"human,vertebrates"
37124	Chikungunya virus	Chikungunya virus	(+)ssRNA	Togaviridae	"human,invertebrates,vertebrates"
11096	Classical swine fever virus	Classical swine fever virus	(+)ssRNA	Flaviviridae	vertebrates
11097	Classical swine fever virus (strain Alfort)	Classical swine fever virus	(+)ssRNA	Flaviviridae	vertebrates
11098	Classical swine fever virus (strain Brescia)	Classical swine fever virus	(+)ssRNA	Flaviviridae	vertebrates
358769	Classical swine fever virus - Alfort/187	Classical swine fever virus	(+)ssRNA	Flaviviridae	vertebrates
31553	Papillomavirus sylvilagi (STRAIN KANSAS)	Papillomavirus sylvilagi	dsDNA	Papillomaviridae	vertebrates
10243	Cowpox virus	Cowpox virus	dsDNA	Poxviridae	"human,vertebrates"
265872	Cowpox virus (Brighton Red)	Cowpox virus	dsDNA	Poxviridae	"human,vertebrates"
103904	Coxsackievirus B3 (strain Woodruff)	Coxsackievirus B3	(+)ssRNA	Picornaviridae	"human,vertebrates"
1980519	Crimean-Congo hemorrhagic fever orthonairovirus	Crimean-Congo hemorrhagic fever orthonairovirus	(-)ssRNA	Nairoviridae	"human,invertebrates,vertebrates"
652961	Crimean-Congo hemorrhagic fever virus (strain Nigeria/IbAr10200/1970)	Crimean-Congo hemorrhagic fever virus	(-)ssRNA	Nairoviridae	"human,invertebrates,vertebrates"
11053	Dengue virus 1	Dengue virus 1	(+)ssRNA	Flaviviridae	"human,invertebrates,vertebrates"
11059	Dengue virus 1 (strain Nauru/West Pac/1974)	Dengue virus 1	(+)ssRNA	Flaviviridae	"human,invertebrates,vertebrates"
11060	Dengue virus 2	Dengue virus 2	(+)ssRNA	Flaviviridae	"human,invertebrates,vertebrates"
11065	Dengue virus 2 (strain Thailand/NGS-C/1944)	Dengue virus 2	(+)ssRNA	Flaviviridae	"human,invertebrates,vertebrates"
11069	Dengue virus 3	Dengue virus 3	(+)ssRNA	Flaviviridae	"human,invertebrates,vertebrates"
408870	Dengue virus 3 Philippines/H87/1956	Dengue virus 3	(+)ssRNA	Flaviviridae	"human,invertebrates,vertebrates"
11070	Dengue virus 4	Dengue virus 4	(+)ssRNA	Flaviviridae	"human,invertebrates,vertebrates"
408871	Dengue virus 4 Dominica/814669/1981	Dengue virus 4	(+)ssRNA	Flaviviridae	"human,invertebrates,vertebrates"
408686	Dengue virus 4 Philippines/H241/1956	Dengue virus 4	(+)ssRNA	Flaviviridae	"human,invertebrates,vertebrates"
31635	Dengue virus 2 (strain 16681-PDK53)	Dengue virus 2	(+)ssRNA	Flaviviridae	"human,invertebrates,vertebrates"
